Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled
WeTrace PH,Philippines,https://www.wetrace.ph/,yes,no,30 days,no,no,unknown,unknown,no,no,no,yes,both,unknown,unknown,unknown,na,gps,yes,none,"5,000",3.2,WPRO,released,2020-04-05,
ProteGO Safe,Poland,https://play.google.com/store/apps/details?id=pl.gov.mc.protegosafe&hl=en_US,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",3.1,EURO,released,2020-04-19,
STAYAWAY COVID,Portugal,https://stayawaycovid.pt/landing-page/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000,000",2.8,EURO,released,2020-08-20,
Ehteraz,Qatar,https://portal.www.gov.qa/wps/portal/media-center/news/news-details/todeterminecoronavirustransmissionchainsehterazappisnowavailablefordownload,yes,no,no,no,no,no,unknown,no,no,no,yes,both,no,no,no,unknown,ble + gps,unknown,none,"1,000,000",3.7,EMRO,released,2020-04-25,
Contact Tracer,Russia,https://contacttracer.ru/,no,no,no,no,no,no,no,no,no,no,no,both,no,no,no,no,ble + gps,unknown,none,,,EURO,released,,
Social Monitoring,Russia,https://play.google.com/store/apps/details?id=ru.mos.app,yes,no,no,no,no,no,no (quarantine),no,no,yes,yes,both,no,no,na,na,gps,yes,none,"500,000",4.1,EURO,released,2020-03-25,
Tabaud,Saudi Arabia,https://tabaud.sdaia.gov.sa/,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,unknown,Apple/Google,"500,000",4.4,EMRO,released,2020-06-12,
Tawakkalna,Saudi Arabia,https://play.google.com/store/apps/details?id=sa.gov.nic.tawakkalna&hl=en_CA,yes,no,no,no,no,no,no,no,no,no,yes,both,no,no,no,na,gps,unknown,none,"1,000,000",4.7,EMRO,released,2020-04-06,
Protect Scotland,Scotland,https://protect.scot/,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"500,000",3.7,EURO,released,2020-09-06,
Daancovid19,Senegal,https://daancovid19.sn/,yes,unknown,15 days,yes,yes,unknown,yes,unknown,yes,yes,yes,android only,yes,yes,yes,yes,ble,unknown,Whisper,,,AFRO,cancelled,,
TraceTogether,Singapore,https://www.tracetogether.gov.sg/,yes,yes,25 days,yes,yes,yes,yes,no,yes,yes,yes,both,yes,yes,no,yes,ble,yes,OpenTrace,"1,000,000",4.2,WPRO,released,2020-02-18,
